"id","as_name","as_number","country","date","ip_address"
"124_2022-12-24_6128_108.162.6.34","CABLE-NET-1","6128","US","2022-12-24","108.162.6.34"
"135_2022-12-23_22773_184.176.154.83","ASN-CXA-ALL-CCI-22773-RDC","22773","US","2022-12-23","184.176.154.83"
"100_2022-12-24_6079_131.106.168.223","RCN-AS","6079","US","2022-12-24","131.106.168.223"
"2144_2022-01-08_267129_45.229.162.233","NET+ TELECOM","267129","BR","2022-01-08","45.229.162.233"
"548_2022-01-03_27855_45.65.249.154","AXESAT S.A","27855","PE","2022-01-03","45.65.249.154"
"2052_2022-01-08_10796_75.188.35.168","TWC-10796-MIDWEST","10796","US","2022-01-08","75.188.35.168"
"624_2022-01-03_39798_5.181.156.16","MIVOCLOUD","39798","MD","2022-01-03","5.181.156.16"
"2422_2022-01-09_16276_51.79.205.117","OVH","16276","SG","2022-01-09","51.79.205.117"
"1962_2022-01-08_7684_153.126.165.175","SAKURA-A SAKURA Internet Inc.","7684","JP","2022-01-08","153.126.165.175"
"2216_2022-01-08_54290_104.168.155.129","HOSTWINDS","54290","US","2022-01-08","104.168.155.129"
"1454_2022-01-06_46034_103.74.143.53","DEPKES-AS-ID Departemen Kesehatan","46034","ID","2022-01-06","103.74.143.53"
"143_2022-12-25_3269_79.13.202.140","ASN-IBSNAZ","3269","IT","2022-12-25","79.13.202.140"
"581_2022-01-03_9318_1.234.65.61","SKB-AS SK Broadband Co Ltd","9318","KR","2022-01-03","1.234.65.61"
"2012_2022-01-08_45298_103.253.107.198","""INTERLINK-TECH-AS-ID INTERLINK TECHNOLOGY, PT""","45298","ID","2022-01-08","103.253.107.198"
"272_2022-01-02_46690_32.221.229.7","SNET-FCC","46690","US","2022-01-02","32.221.229.7"
"399_2022-01-03_16276_54.39.98.141","OVH","16276","CA","2022-01-03","54.39.98.141"
"101_2022-12-25_30036_173.18.126.3","MEDIACOM-ENTERPRISE-BUSINESS","30036","US","2022-12-25","173.18.126.3"
"135_2022-01-02_47583_213.190.4.223","AS-HOSTINGER","47583","DE","2022-01-02","213.190.4.223"
"7_2022-12-24_14280_204.174.223.210","NETNATION","14280","CA","2022-12-24","204.174.223.210"
"2421_2022-01-09_16276_51.91.142.158","OVH","16276","FR","2022-01-09","51.91.142.158"
"1367_2022-01-06_200698_185.164.32.148","GLOBALHOST-BOSNIA-AS","200698","BA","2022-01-06","185.164.32.148"
"455_2022-01-03_30083_69.64.50.41","AS-30083-GO-DADDY-COM-LLC","30083","US","2022-01-03","69.64.50.41"
"2362_2022-01-09_262807_186.250.48.123","Redfox Telecomunicacoes Ltda.","262807","BR","2022-01-09","186.250.48.123"
"216_2022-01-02_34088_151.106.39.36","GDY-FRANCE","34088","FR","2022-01-02","151.106.39.36"
"668_2022-01-04_36926_154.79.244.182","CKL1-ASN","36926","KE","2022-01-04","154.79.244.182"
"2488_2022-01-09_141995_194.233.68.48","CAPL-AS-AP Contabo Asia Private Limited","141995","SG","2022-01-09","194.233.68.48"
"2770_2022-01-10_16735_200.233.192.111","ALGAR TELECOM SA","16735","BR","2022-01-10","200.233.192.111"
