,as_number,date,ip_address,id,country,as_name
0,6128,2022-12-24,108.162.6.34,124_2022-12-24_6128_108.162.6.34,US,CABLE-NET-1
1,22773,2022-12-23,184.176.154.83,135_2022-12-23_22773_184.176.154.83,US,ASN-CXA-ALL-CCI-22773-RDC
2,6079,2022-12-24,131.106.168.223,100_2022-12-24_6079_131.106.168.223,US,RCN-AS
11,3269,2022-12-25,79.13.202.140,143_2022-12-25_3269_79.13.202.140,IT,ASN-IBSNAZ
16,30036,2022-12-25,173.18.126.3,101_2022-12-25_30036_173.18.126.3,US,MEDIACOM-ENTERPRISE-BUSINESS
18,14280,2022-12-24,204.174.223.210,7_2022-12-24_14280_204.174.223.210,CA,NETNATION
30,22773,2022-12-24,184.176.154.83,110_2022-12-24_22773_184.176.154.83,US,ASN-CXA-ALL-CCI-22773-RDC
34,14061,2022-12-23,104.248.155.133,17_2022-12-23_14061_104.248.155.133,SG,DIGITALOCEAN-ASN
36,14061,2022-12-23,159.65.3.147,10_2022-12-23_14061_159.65.3.147,SG,DIGITALOCEAN-ASN
41,20001,2022-12-21,172.114.160.81,30_2022-12-21_20001_172.114.160.81,US,TWC-20001-PACWEST
42,3215,2022-12-21,92.154.45.81,210_2022-12-21_3215_92.154.45.81,FR,France Telecom - Orange
43,5089,2022-12-22,92.239.81.124,74_2022-12-22_5089_92.239.81.124,GB,NTL
45,3215,2022-12-23,86.225.214.138,83_2022-12-23_3215_86.225.214.138,FR,France Telecom - Orange
46,7018,2022-12-24,12.172.173.82,112_2022-12-24_7018_12.172.173.82,US,ATT-INTERNET4
49,12479,2022-12-21,92.185.204.18,68_2022-12-21_12479_92.185.204.18,ES,UNI2-AS
63,12479,2022-12-23,90.162.45.154,124_2022-12-23_12479_90.162.45.154,ES,UNI2-AS
73,7018,2022-12-25,12.172.173.82,113_2022-12-25_7018_12.172.173.82,US,ATT-INTERNET4
74,2860,2022-12-23,89.152.120.181,130_2022-12-23_2860_89.152.120.181,PT,NOS_COMUNICACOES
75,6327,2022-12-22,184.68.116.146,181_2022-12-22_6327_184.68.116.146,CA,SHAW
80,16591,2022-12-22,136.35.241.159,142_2022-12-22_16591_136.35.241.159,US,GOOGLE-FIBER
83,17747,2022-12-24,202.142.98.62,193_2022-12-24_17747_202.142.98.62,IN,SITINETWORS-IN-AP SITI NETWORKS LIMITED
85,29802,2022-12-25,139.177.146.137,131_2022-12-25_29802_139.177.146.137,US,HVC-AS
86,15557,2022-12-24,91.68.227.219,66_2022-12-24_15557_91.68.227.219,FR,LDCOMNET
87,63949,2022-12-24,66.175.217.172,5_2022-12-24_63949_66.175.217.172,US,"LINODE-AP Linode, LLC"
90,3215,2022-12-21,90.89.95.158,120_2022-12-21_3215_90.89.95.158,FR,France Telecom - Orange
95,53667,2022-12-25,104.244.79.94,34_2022-12-25_53667_104.244.79.94,LU,PONYNET
96,16276,2022-12-24,146.59.116.146,51_2022-12-24_16276_146.59.116.146,FR,OVH
97,132956,2022-12-21,103.212.19.254,236_2022-12-21_132956_103.212.19.254,IN,VNET-AS V NET NETWORKS PVT LTD
98,16276,2022-12-24,192.99.150.39,8_2022-12-24_16276_192.99.150.39,CA,OVH
100,12479,2022-12-24,80.103.77.44,93_2022-12-24_12479_80.103.77.44,ES,UNI2-AS
102,20001,2022-12-23,172.114.160.81,32_2022-12-23_20001_172.114.160.81,US,TWC-20001-PACWEST
112,4804,2022-12-23,27.99.45.237,117_2022-12-23_4804_27.99.45.237,AU,MPX-AS Microplex PTY LTD
114,55836,2022-12-24,136.232.184.134,50_2022-12-24_55836_136.232.184.134,IN,RELIANCEJIO-IN Reliance Jio Infocomm Limited
122,1267,2022-12-23,91.254.132.23,227_2022-12-23_1267_91.254.132.23,IT,ASN-WINDTRE IUNET
126,16276,2022-12-24,146.59.116.25,127_2022-12-24_16276_146.59.116.25,FR,OVH
130,20001,2022-12-21,198.2.51.242,55_2022-12-21_20001_198.2.51.242,US,TWC-20001-PACWEST
134,7018,2022-12-21,12.172.173.82,130_2022-12-21_7018_12.172.173.82,US,ATT-INTERNET4
138,213373,2022-12-23,45.141.58.139,205_2022-12-23_213373_45.141.58.139,SC,IPCONNECT
148,6327,2022-12-24,50.68.204.71,58_2022-12-24_6327_50.68.204.71,CA,SHAW
149,7018,2022-12-23,12.172.173.82,137_2022-12-23_7018_12.172.173.82,US,ATT-INTERNET4
151,6327,2022-12-25,50.68.204.71,51_2022-12-25_6327_50.68.204.71,CA,SHAW
155,12400,2022-12-22,77.124.17.122,224_2022-12-22_12400_77.124.17.122,IL,PARTNER-AS
156,14061,2022-12-25,128.199.232.159,9_2022-12-25_14061_128.199.232.159,SG,DIGITALOCEAN-ASN
158,11426,2022-12-25,69.133.162.35,85_2022-12-25_11426_69.133.162.35,US,TWC-11426-CAROLINAS
159,28573,2022-12-22,179.158.103.236,44_2022-12-22_28573_179.158.103.236,BR,Claro NXT Telecomunicacoes Ltda
161,14061,2022-12-24,174.138.33.49,39_2022-12-24_14061_174.138.33.49,US,DIGITALOCEAN-ASN
163,5432,2022-12-24,109.128.221.164,42_2022-12-24_5432_109.128.221.164,BE,PROXIMUS-ISP-AS
166,136883,2022-12-23,103.109.247.10,22_2022-12-23_136883_103.109.247.10,ID,IDNIC-UNUSA-AS-ID Universitas Nahdlatul Ulama Surabaya
167,6327,2022-12-21,184.68.116.146,189_2022-12-21_6327_184.68.116.146,CA,SHAW
172,28573,2022-12-23,179.158.103.236,44_2022-12-23_28573_179.158.103.236,BR,Claro NXT Telecomunicacoes Ltda
175,16276,2022-12-25,51.83.250.102,40_2022-12-25_16276_51.83.250.102,RU,OVH
177,16276,2022-12-21,146.59.116.242,93_2022-12-21_16276_146.59.116.242,FR,OVH
181,1257,2022-12-21,83.248.199.56,149_2022-12-21_1257_83.248.199.56,SE,TELE2
186,2119,2022-12-25,84.219.213.130,122_2022-12-25_2119_84.219.213.130,SE,TELENOR-NEXTEL Telenor Norge AS
194,35819,2022-12-25,31.167.254.199,127_2022-12-25_35819_31.167.254.199,SA,MOBILY-AS Etihad Etisalat Company Mobily
195,132956,2022-12-23,103.212.19.254,213_2022-12-23_132956_103.212.19.254,IN,VNET-AS V NET NETWORKS PVT LTD
196,11426,2022-12-24,69.133.162.35,89_2022-12-24_11426_69.133.162.35,US,TWC-11426-CAROLINAS
198,11427,2022-12-21,76.184.95.190,139_2022-12-21_11427_76.184.95.190,US,TWC-11427-TEXAS
223,20001,2022-12-22,172.114.160.81,32_2022-12-22_20001_172.114.160.81,US,TWC-20001-PACWEST
227,136883,2022-12-21,103.109.247.10,21_2022-12-21_136883_103.109.247.10,ID,IDNIC-UNUSA-AS-ID Universitas Nahdlatul Ulama Surabaya
231,9318,2022-12-25,218.38.121.17,35_2022-12-25_9318_218.38.121.17,KR,SKB-AS SK Broadband Co Ltd
241,6327,2022-12-23,70.77.116.233,164_2022-12-23_6327_70.77.116.233,CA,SHAW
243,136107,2022-12-25,103.233.103.85,46_2022-12-25_136107_103.233.103.85,ID,IDNIC-7ION-AS-ID PT. Tujuh Ion Indonesia
