,as_number,date,ip_address,id,country,as_name
3,267129,2022-01-08,45.229.162.233,2144_2022-01-08_267129_45.229.162.233,BR,NET+ TELECOM
4,27855,2022-01-03,45.65.249.154,548_2022-01-03_27855_45.65.249.154,PE,AXESAT S.A
5,10796,2022-01-08,75.188.35.168,2052_2022-01-08_10796_75.188.35.168,US,TWC-10796-MIDWEST
6,39798,2022-01-03,5.181.156.16,624_2022-01-03_39798_5.181.156.16,MD,MIVOCLOUD
7,16276,2022-01-09,51.79.205.117,2422_2022-01-09_16276_51.79.205.117,SG,OVH
8,7684,2022-01-08,153.126.165.175,1962_2022-01-08_7684_153.126.165.175,JP,SAKURA-A SAKURA Internet Inc.
9,54290,2022-01-08,104.168.155.129,2216_2022-01-08_54290_104.168.155.129,US,HOSTWINDS
10,46034,2022-01-06,103.74.143.53,1454_2022-01-06_46034_103.74.143.53,ID,DEPKES-AS-ID Departemen Kesehatan
12,9318,2022-01-03,1.234.65.61,581_2022-01-03_9318_1.234.65.61,KR,SKB-AS SK Broadband Co Ltd
13,45298,2022-01-08,103.253.107.198,2012_2022-01-08_45298_103.253.107.198,ID,"INTERLINK-TECH-AS-ID INTERLINK TECHNOLOGY, PT"
14,46690,2022-01-02,32.221.229.7,272_2022-01-02_46690_32.221.229.7,US,SNET-FCC
15,16276,2022-01-03,54.39.98.141,399_2022-01-03_16276_54.39.98.141,CA,OVH
17,47583,2022-01-02,213.190.4.223,135_2022-01-02_47583_213.190.4.223,DE,AS-HOSTINGER
19,16276,2022-01-09,51.91.142.158,2421_2022-01-09_16276_51.91.142.158,FR,OVH
20,200698,2022-01-06,185.164.32.148,1367_2022-01-06_200698_185.164.32.148,BA,GLOBALHOST-BOSNIA-AS
21,30083,2022-01-03,69.64.50.41,455_2022-01-03_30083_69.64.50.41,US,AS-30083-GO-DADDY-COM-LLC
22,262807,2022-01-09,186.250.48.123,2362_2022-01-09_262807_186.250.48.123,BR,Redfox Telecomunicacoes Ltda.
23,34088,2022-01-02,151.106.39.36,216_2022-01-02_34088_151.106.39.36,FR,GDY-FRANCE
24,36926,2022-01-04,154.79.244.182,668_2022-01-04_36926_154.79.244.182,KE,CKL1-ASN
25,141995,2022-01-09,194.233.68.48,2488_2022-01-09_141995_194.233.68.48,SG,CAPL-AS-AP Contabo Asia Private Limited
26,16735,2022-01-10,200.233.192.111,2770_2022-01-10_16735_200.233.192.111,BR,ALGAR TELECOM SA
27,8560,2022-01-08,50.21.183.143,2115_2022-01-08_8560_50.21.183.143,US,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE."
28,49037,2022-01-03,185.9.187.10,353_2022-01-03_49037_185.9.187.10,RU,PG19
29,51167,2022-01-07,144.91.122.94,1878_2022-01-07_51167_144.91.122.94,DE,CONTABO
31,11071,2022-01-10,209.33.231.203,2592_2022-01-10_11071_209.33.231.203,US,IW-ASN-11071
32,54290,2022-01-03,104.168.155.129,621_2022-01-03_54290_104.168.155.129,US,HOSTWINDS
33,12772,2022-01-10,94.28.78.200,2562_2022-01-10_12772_94.28.78.200,RU,ENFORTA-AS Enforta Autonomous System
35,2764,2022-01-04,61.69.102.170,888_2022-01-04_2764_61.69.102.170,AU,AAPT AAPT Limited
37,14061,2022-01-08,128.199.232.159,2036_2022-01-08_14061_128.199.232.159,SG,DIGITALOCEAN-ASN
